303;144;80;258;328;51;495;338;164;113;21;152;394;498;351;385;350;413;388;464;315;344;270;123;472;21036
327;348;338;451;353;462;164;79;4;249;476;28;388;146;464;51;67;340;391;85;495;185;362;469;447;20924
27;253;349;495;147;214;325;292;357;327;175;194;170;305;466;404;377;80;453;312;273;481;230;374;257;21111
397;197;310;123;142;140;292;361;322;415;247;248;200;422;337;84;11;166;356;16;133;284;83;157;413;21149
133;102;101;344;40;65;123;156;152;315;469;340;44;215;122;465;222;171;164;471;144;87;464;88;385;21019
30;374;321;73;404;35;318;273;90;175;466;485;389;211;170;194;252;268;121;225;255;327;63;26;51;20930
344;228;247;84;166;16;39;110;415;421;462;351;34;284;410;17;356;399;413;95;13;221;164;354;224;21161
231;335;436;118;104;78;226;256;290;138;495;361;419;368;364;175;328;446;121;417;466;247;44;216;483;21061
133;166;272;422;123;404;181;242;472;145;338;354;356;496;14;142;292;337;16;197;164;221;344;7;262;21106
123;394;228;35;472;42;360;32;125;65;331;237;156;197;7;264;216;151;91;460;438;15;380;94;337;21042
281;117;467;268;419;487;389;257;217;170;374;167;194;63;121;307;105;97;239;466;211;175;443;478;226;20957
413;401;397;11;145;31;272;70;110;164;160;334;415;356;142;16;442;84;197;422;248;259;284;95;166;20909
338;369;136;464;388;462;37;421;85;51;21;404;144;80;146;311;377;489;383;340;344;164;495;152;88;21260
96;32;194;223;123;360;438;151;8;380;15;91;441;297;197;472;352;371;42;228;264;289;35;216;125;21162
489;300;136;344;51;498;88;377;462;421;340;383;284;338;311;369;190;272;152;144;21;164;85;146;80;21183
445;302;359;95;78;12;17;134;330;219;205;15;291;259;380;235;228;138;264;415;148;438;223;241;110;21169
300;114;51;80;377;25;144;164;462;383;421;498;88;340;87;86;344;489;369;284;152;21;315;338;311;21026
388;469;290;327;215;338;315;464;495;133;144;350;344;152;385;164;340;476;416;44;122;413;21;80;51;21136
340;84;422;440;146;445;215;284;462;123;63;344;315;288;178;197;87;164;476;25;85;498;338;221;375;20579
464;338;272;472;152;164;88;144;446;85;340;300;369;185;51;498;290;136;288;315;21;383;344;495;311;21047
194;257;214;357;481;312;147;311;466;27;175;325;349;80;273;226;253;170;335;453;359;436;115;167;495;20985
499;495;118;113;296;69;359;312;466;353;84;464;170;483;453;115;145;301;423;44;273;486;13;256;363;21003
31;164;144;498;350;464;442;413;344;146;290;160;292;21;388;262;285;301;338;88;351;495;334;404;356;21187
484;121;478;268;276;257;354;194;35;97;374;252;211;404;239;389;217;340;443;105;175;167;102;170;466;21331
146;498;315;311;88;51;338;288;80;21;190;152;144;258;344;340;136;272;383;394;472;464;164;495;453;21160
43;351;478;397;248;356;292;166;20;31;51;322;16;272;285;21;262;200;192;293;309;413;338;303;144;21215
344;498;383;462;290;190;311;88;377;300;87;51;288;25;315;21;144;272;338;340;221;421;146;489;152;21288
94;420;498;312;105;27;164;263;356;257;377;351;442;1;175;70;284;292;495;404;144;344;214;97;51;21048
344;338;472;421;221;340;51;144;311;495;164;350;383;258;21;315;351;152;88;136;464;489;80;377;498;21084
312;477;30;131;146;145;84;88;292;453;217;95;31;356;170;399;142;160;354;164;401;225;421;284;83;21302
