18;386;282;30;218;383;454;374;271;250;8;211;149;41;439;7;463;24;469;175;448;48;139;75;258;21298
450;80;166;168;336;420;471;299;47;118;45;400;445;306;212;171;17;154;92;476;23;206;243;374;197;21302
426;150;224;429;483;99;40;407;24;256;146;392;74;288;117;473;289;439;59;444;338;181;236;203;48;21241
154;15;28;447;229;20;76;224;427;435;398;183;84;236;8;474;369;417;79;292;471;49;110;328;320;21361
289;261;375;464;328;291;189;21;278;158;36;267;15;8;191;425;187;66;269;172;441;405;272;59;180;21348
484;170;179;283;11;161;318;284;16;148;46;227;307;429;181;424;153;123;105;286;250;311;53;305;93;21269
499;13;495;84;312;256;353;145;6;428;401;363;205;16;295;483;296;453;359;466;423;115;217;170;117;21322
182;36;224;218;223;315;430;80;236;71;410;65;91;366;407;387;209;76;279;321;381;108;124;308;115;21378
230;25;260;341;34;387;375;74;309;23;336;221;343;418;463;335;302;439;247;171;36;81;234;13;290;21247
324;151;337;118;178;400;259;339;136;311;193;399;391;141;116;197;146;144;5;484;356;230;430;320;321;21337
434;120;498;199;267;207;15;47;404;38;254;42;226;43;73;216;147;157;456;143;158;49;123;182;265;21181
8;85;157;54;15;471;423;447;155;79;20;492;370;461;393;178;417;154;320;236;70;28;222;369;435;21385
323;15;90;464;267;21;66;261;441;337;71;272;191;172;187;405;8;291;124;52;375;328;158;289;269;21373
332;290;398;336;13;428;271;54;168;17;237;460;423;44;282;241;165;480;73;180;212;135;52;366;352;21320
16;293;356;140;422;344;397;478;262;21;351;292;247;144;413;338;303;59;166;415;248;322;200;459;272;21398
463;430;36;400;191;426;108;294;209;205;286;224;52;31;124;306;65;317;80;470;235;381;419;313;164;21407
258;193;439;416;24;48;334;374;261;80;21;383;463;84;81;387;454;18;448;74;232;253;271;96;108;21278
464;168;34;386;273;131;76;348;271;267;154;104;138;91;408;268;11;418;172;2;404;435;211;99;328;21445
269;389;382;461;478;334;299;448;62;184;275;19;25;393;10;380;157;383;233;412;430;130;390;231;116;21305
214;149;320;54;418;212;471;154;100;285;42;76;244;49;28;70;447;45;15;73;110;321;229;369;224;21457
66;191;8;405;289;172;425;272;1;87;278;229;180;187;269;441;267;393;464;158;15;189;261;291;328;21364
304;198;301;433;42;151;252;95;404;0;218;112;493;14;116;285;10;60;345;31;362;477;69;237;127;21321
94;51;105;303;247;78;495;230;273;27;185;155;45;344;357;82;311;175;466;104;90;73;70;161;383;21361
167;84;317;124;463;286;209;345;78;164;31;470;65;419;104;205;387;381;80;191;400;222;313;408;52;21283
479;217;85;20;443;172;484;334;357;81;253;116;84;416;239;261;454;108;105;494;215;464;314;52;21;21310
34;168;99;2;404;210;198;192;420;334;435;445;248;131;295;284;464;45;154;39;342;273;25;455;76;21308
429;33;472;338;416;67;421;354;477;341;492;150;380;438;29;57;317;107;368;48;446;490;199;393;426;21197
15;20;393;177;154;423;370;54;229;320;492;417;157;252;28;222;236;285;8;485;49;435;162;369;471;21393
45;397;423;438;108;439;71;194;399;430;392;213;345;242;491;208;91;57;462;327;123;478;138;119;254;21336
470;334;198;226;10;290;303;151;103;212;232;53;237;252;112;218;345;375;332;186;400;42;185;280;462;21360
123;136;200;496;404;144;338;402;181;351;16;164;356;14;166;262;258;472;344;221;422;292;272;445;176;21392
313;470;80;124;419;400;104;31;381;191;205;167;294;450;345;222;463;164;263;224;215;286;209;36;317;21359
