3;439;328;174;386;146;169;298;217;441;218;149;488;53;154;401;64;448;326;45;25;347;315;41;127;21495
5;320;337;196;391;354;430;118;36;146;341;357;393;19;70;161;313;69;151;400;311;454;116;324;92;21496
33;91;495;376;368;432;238;491;382;154;237;493;412;240;265;446;388;378;397;55;369;28;210;472;342;21448
49;73;28;447;154;369;214;229;110;224;76;100;471;285;320;84;45;15;149;54;244;321;417;98;42;21684
15;267;289;269;191;291;187;172;261;134;464;66;272;441;30;8;337;3;124;21;375;328;405;180;36;21487
290;60;404;0;74;218;303;345;477;151;14;470;112;237;198;42;375;285;252;185;10;69;127;95;186;21484
15;380;445;95;259;228;264;138;17;219;330;205;415;459;78;12;359;110;134;86;302;235;291;223;73;21550
65;470;419;164;317;31;205;80;124;84;52;210;313;408;78;400;463;209;294;167;345;426;104;286;381;21626
6;343;439;302;34;336;341;36;387;74;375;298;335;23;489;463;418;416;247;221;13;271;414;309;171;21475
34;321;271;281;386;99;93;168;404;273;76;418;104;131;493;105;2;260;268;464;429;138;21;172;356;21481
380;41;316;269;301;186;172;62;453;104;448;48;494;389;219;116;478;430;445;66;336;253;211;25;45;21431
15;244;485;155;70;294;154;236;396;45;320;471;447;461;393;28;370;54;369;79;8;492;285;20;222;21547
30;441;172;269;15;66;267;464;289;328;405;21;124;261;180;291;272;479;337;296;134;8;191;375;323;21460
10;334;462;252;332;226;336;58;290;237;303;375;280;30;212;151;103;271;53;232;470;186;112;185;269;21512
27;312;311;377;357;385;194;316;257;410;481;214;170;344;175;273;253;453;495;247;466;80;226;230;167;21536
1;96;328;491;196;177;284;480;57;446;158;142;342;159;445;404;191;37;324;32;213;209;119;11;31;21432
146;169;328;45;347;64;217;41;488;218;439;154;149;448;441;174;298;386;326;315;401;3;127;53;25;21495
112;435;184;419;445;248;394;442;220;206;464;418;337;131;153;25;188;484;34;93;470;173;218;233;488;21498
70;336;443;219;218;215;473;474;330;340;280;245;470;15;92;262;313;290;127;300;2;69;387;124;432;21412
45;110;73;154;28;229;49;321;471;100;15;149;76;320;369;417;447;54;285;224;214;84;98;244;42;21684
3;30;375;261;328;464;191;291;124;66;134;405;272;269;267;180;172;8;441;21;289;187;36;15;337;21487
237;252;303;232;212;10;58;462;290;271;112;103;334;332;470;186;30;151;185;280;226;269;375;53;336;21512
17;223;138;259;228;380;459;219;110;95;15;134;359;235;330;415;205;78;86;302;291;73;12;445;264;21550
31;381;426;470;419;463;313;167;164;317;408;286;124;84;345;205;80;209;78;210;52;400;294;104;41;21631
5;311;430;70;19;146;391;324;400;36;69;92;393;187;320;341;337;116;161;151;454;313;357;196;354;21496
185;72;342;259;460;478;209;67;180;54;114;69;79;302;201;277;8;361;482;378;346;77;255;23;376;21513
41;211;186;62;172;269;478;453;494;389;380;430;104;253;48;219;45;316;116;301;25;336;445;66;448;21431
8;154;236;242;28;222;478;393;339;423;167;252;369;124;85;15;492;483;70;157;185;162;320;435;370;21530
8;191;15;328;269;261;66;220;289;405;441;425;267;393;278;291;158;464;172;187;180;272;375;87;36;21442
10;404;127;42;477;345;185;112;74;0;151;60;218;285;470;237;290;69;252;116;14;95;198;375;304;21483
16;166;401;31;145;59;413;399;415;248;95;272;84;356;312;142;292;247;200;397;30;11;370;422;70;21507
36;317;164;52;80;65;430;470;419;31;235;306;205;400;381;463;313;286;124;426;167;108;121;191;441;21425
